Idcultivo,Nomcultivo,Idunidadmedida,Nomunidad
1000000,Viveros de manzana,200206,Planta
1200000,Viveros de nuez,200206,Planta
1400000,Palo de arco,200201,Tonelada
1500000,Semilla de garbanzo grano,200201,Tonelada
1501000,Semilla de garbanzo porquero,200201,Tonelada
1503000,Quinoa,200201,Tonelada
1504000,Dalia,200206,Planta
1504000,Dalia ,200206,Planta
1504000,Dalia (planta),200206,Planta
1508000,Flor lisianthus,200203,Gruesa
1509000,Flor hawaiana,200203,Gruesa
1510000,Semilla de cacahuate,200201,Tonelada
5000000,Aceituna,200201,Tonelada
5010000,Acelga,200201,Tonelada
5020000,Achiote,200201,Tonelada
5040000,Agapando,200203,Gruesa
5040000,Agapando (gruesa),200203,Gruesa
5050000,Agave,200201,Tonelada
5060000,Aguacate,200201,Tonelada
5070000,Ajo,200201,Tonelada
5080000,Ajonjolí,200201,Tonelada
5110000,Albahaca,200201,Tonelada
5120000,Albricia,200201,Tonelada
5130000,Alcachofa,200201,Tonelada
5150000,Alcatraz,200203,Gruesa
5150000,Alcatraz (gruesa),200203,Gruesa
5160000,Alfalfa achicalada,200201,Tonelada
5160000,Alfalfa,200201,Tonelada
5170000,Alfalfa,200201,Tonelada
5170000,Alfalfa verde,200201,Tonelada
5180000,Algarrobo,200201,Tonelada
5190000,Algodón hueso,200201,Tonelada
5220000,Alhelí,200205,Manojo
5220000,Alhelí,200203,Gruesa
5220000,Alhelí,200201,Tonelada
5230000,Alhelí,200203,Gruesa
5230000,Alhelí (gruesa),200203,Gruesa
5240000,Alhelí (manojo),200205,Manojo
5240000,Alhelí,200205,Manojo
5250000,Almácigo,200206,Planta
5270000,Alpiste,200201,Tonelada
5270000,Alpiste grano,200201,Tonelada
5271000,Alpiste ornamental,200205,Manojo
5320000,Alpiste verde,200201,Tonelada
5320000,Alpiste forrajero verde,200201,Tonelada
5330000,Alstroemeria (gruesa),200203,Gruesa
5330000,Alstroemeria ,200203,Gruesa
5330000,Alstroemeria,200203,Gruesa
5340000,Amaranto,200201,Tonelada
5350000,Anís,200201,Tonelada
5365000,Anturios (gruesa),200203,Gruesa
5365000,Anturios ,200203,Gruesa
5365000,Anturios,200203,Gruesa
5370000,Apio,200201,Tonelada
5380000,Semilla de apio,200201,Tonelada
5390000,Árbol de navidad,200206,Planta
5390000,Árbol de navidad ,200206,Planta
5390000,Árbol de navidad (planta),200206,Planta
5395000,Aretillo ,200206,Planta
5395000,Aretillo (planta),200206,Planta
5395000,Aretillo,200206,Planta
5400000,Arrayán,200201,Tonelada
5410000,Arroz palay,200201,Tonelada
5430000,Arvejón,200201,Tonelada
5450000,Aster (manojo),200205,Manojo
5450000,Aster,200205,Manojo
5450000,Aster ,200205,Manojo
5460000,Ave del paraíso,200203,Gruesa
5460000,Ave del paraíso,200201,Tonelada
5470000,Ave del paraíso (gruesa),200203,Gruesa
5470000,Ave del paraíso,200203,Gruesa
5480000,Avena forrajera achicalada,200201,Tonelada
5480000,Avena forrajera en verde,200201,Tonelada
5490000,Avena forrajera en verde,200201,Tonelada
5500000,Avena forrajera en verde,200201,Tonelada
5510000,Avena grano,200201,Tonelada
5520000,Semilla de avena grano,200201,Tonelada
5550000,Azucena,200203,Gruesa
5560000,Baby back choi,200201,Tonelada
5570000,Bangaña,200201,Tonelada
5600000,Begonia,200206,Planta
5600000,Begonia (planta),200206,Planta
5605000,Belén (planta),200206,Planta
5605000,Belén ,200206,Planta
5605000,Belén,200206,Planta
5610000,Berenjena,200201,Tonelada
5620000,Semilla de berenjena,200201,Tonelada
5640000,Betabel,200201,Tonelada
5650000,Arándano,200201,Tonelada
5660000,Boi choi,200201,Tonelada
5670000,Brócoli,200201,Tonelada
5680000,Semilla de brócoli,200201,Tonelada
5690000,Cacahuate,200201,Tonelada
5700000,Cacao,200201,Tonelada
5710000,Café cereza,200201,Tonelada
5730000,Caimito,200201,Tonelada
5740000,Calabacita,200201,Tonelada
5750000,Semilla de calabacita,200201,Tonelada
5760000,Calabaza,200201,Tonelada
5770000,Calabaza semilla o chihua,200201,Tonelada
5780000,Calancoe ,200206,Planta
5780000,Calancoe (planta),200206,Planta
5780000,Calancoe,200206,Planta
5790000,Camote,200201,Tonelada
5810000,Canola,200201,Tonelada
5811000,Canola forrajera,200201,Tonelada
5812000,Semilla de canola,200201,Tonelada
5820000,Caña de azúcar,200201,Tonelada
5821000,Caña de azúcar otro uso,200201,Tonelada
5821000,Caña de azúcar fruta,200201,Tonelada
5822000,Caña de azúcar piloncillo,200201,Tonelada
5822000,Caña de azúcar otro uso,200201,Tonelada
5823000,Caña de azúcar otro uso,200201,Tonelada
5823000,Caña de azúcar forrajera,200201,Tonelada
5830000,Semilla de caña de azúcar,200201,Tonelada
5840000,Capulín,200201,Tonelada
5850000,Carambolo,200201,Tonelada
5870000,Cártamo,200201,Tonelada
5875000,Cártamo forrajero en verde,200201,Tonelada
5890000,Cebada forrajera achicalada,200201,Tonelada
5890000,Cebada forrajera en verde,200201,Tonelada
5900000,Cebada forrajera en verde,200201,Tonelada
5920000,Cebada grano,200201,Tonelada
5930000,Semilla de cebada grano,200201,Tonelada
5940000,Cebolla,200201,Tonelada
5980000,Centeno forrajero en verde,200201,Tonelada
6000000,Centeno grano,200201,Tonelada
6010000,Cereza,200201,Tonelada
6020000,Chabacano,200201,Tonelada
6040000,Chay,200201,Tonelada
6050000,Chayote,200201,Tonelada
6060000,Chía,200201,Tonelada
6070000,Chícharo,200201,Tonelada
6090000,Chilacayote,200201,Tonelada
