CVEGEO,CLAVE_WRB,GRUPO1,GRUPO2,GRUPO3,CLASE_TEXT,FRUDICA
01001,H2O,PH,NA,NO,2,NO
01002,H2O,NA,NA,NO,2,NO
01003,H2O,PH,LP,NO,2,NO
01004,H2O,NA,NA,NA,2,NO
01005,H2O,PH,NA,NO,2,NO
01006,H2O,NA,NA,NO,2,NO
01007,LPmo+LPeuli/2,LP,NA,NO,2,NO
01008,H2O,LP,LP,NO,2,NO
01009,ZU,DU,NA,NO,2,NO
01010,H2O,NA,NA,NA,2,NO
01011,ZU,NA,NA,NA,2,NO
02001,ZU,LP,LP,NO,1,R
02002,ZU,RG,RG,NO,1,NO
02003,ZU,LP,LP,NO,1,R
02004,ZU,LP,LP,NO,2,R
02005,ZU,LP,LP,NO,2,R
02006,LPskli+LPeusk/1R,LP,RG,NO,1,R
02007,LPskli+RGsklep/1R,LP,RG,NO,1,R
03001,SCglso/1,LP,NO,NO,1,NO
03002,RGadlep/1R,RG,NO,NO,1,NO
03003,LPeuli+RGeulep/1,RG,RG,NO,1,R
03008,ZU,RG,RG,NO,1,NO
03009,VRsklep+LPvrsk+LPskli/3R,LP,LP,NO,1,R
04001,ARcaso/1,LP,LV,NO,2,NO
04002,LPhurz+LPhuli/2,LP,LP,NO,3,NO
04003,H2O,NA,NA,NO,1,NO
04004,LPhurz+LPhuli/2,LP,LP,NO,3,NO
04005,NTromo+LVcr/3,LP,LP,NO,3,NO
04006,ZU,LP,LP,NO,3,NO
04007,H2O,NA,NA,NA,NA,NA
04008,LPhurz+LPhuli/2,LP,LP,NO,3,NO
04009,ZU,VR,LP,PH,3,NO
04010,LPhurz+LPhuli/3,LP,LP,NO,3,NO
04011,H2O,NA,NA,NA,3,NO
04012,LPhurz+LPhuli/2,LP,LP,NO,3,NO
04013,LVcr+NTeu/3,LP,LP,NO,3,NO
05001,CLskptp/2r,CL,NO,NO,2,NO
05002,CLlep+LPcali/2,LP,LP,NO,2,NO
05003,ZU,CL,CL,NO,2,NO
05004,LPcarz+PHhulen+LPhurz/2R,LP,LP,NO,2,NO
05005,CLskptp/2r,LP,NO,NO,2,r
05006,CLptp/2R,CL,NO,NO,2,R
05007,LPgpmo+LPrz/2,CL,LP,NO,2,NO
05008,CLskptp/2r,CL,NO,NO,2,r
05009,LPgpmo+LPrz/2,LP,LP,NO,2,NO
05010,CLvr/3,CL,NO,NO,2,NO
05011,H2O,LP,NO,NO,2,NO
05012,H2O,CL,NO,NO,2,NO
05013,H2O,CL,CL,NO,1,NO
05014,H2O,CL,CL,NO,2,NO
05015,H2O,CL,NO,NO,2,NO
05016,LPhurz+LPcali/2R,LP,LP,NO,2,R
05017,ZU,RG,RG,NO,2,NO
05018,CLptp/2R,CL,NO,NO,2,R
05019,CLlvcch+CLlvvr/2,CL,CL,NO,2,NO
05020,PHvrpcn+VRmscc/3r,LP,LP,NO,2,NO
05021,LPhurz/2r,LP,NO,NO,2,r
05022,ZU,CL,CL,NO,2,NO
05023,LPcali+RGca/2,CL,CL,NO,2,NO
05024,H2O,CL,NO,NO,2,NO
05025,H2O,CL,NA,NO,2,NA
05026,H2O,CL,NO,NO,2,NO
05027,H2O,LP,NO,NO,2,NO
05028,VRcalen/3r,CL,NO,NO,2,NO
05029,PHcapcp+CLptp/2R,CL,NO,NO,2,R
05030,PHcapcp+CLptp/2R,LP,NO,NO,2,R
05031,LPcali+LPhurz/2,CL,NO,NO,2,NO
05032,CLhuptp+LPskrz/3r,CL,NO,NO,2,r
05033,LPgpmo+LPrz/2,CL,LP,NO,2,NO
05034,LPcali+RGca/2,CL,CL,NO,2,NO
05035,RGcalep+LPcali/2,LP,RG,NO,2,NO
05036,CLptp/2r,CL,RG,NO,2,NO
05037,H2O,CL,CL,NO,2,r
05038,CLha+CMskca/3r,CL,CL,NO,2,r
06001,CMeu/2,PH,PH,NO,2,NO
06002,H2O,PH,LP,NO,2,NO
06003,LPeuli+RGeu/1,RG,RG,NO,1,NO
06004,LPeuli+LPrz/2,LP,LP,NO,2,NO
06005,ZU,NA,NA,NO,NA,NO
06006,FLca/1,PH,LP,NO,3,NO
06007,H2O,RG,NA,NO,1,NO
06008,CMsklen+RGsklen/2,CM,RG,NO,2,NO
06009,H2O,LP,PH,NO,2,NO
06010,ZU,LP,LP,NO,2,NO
07001,ZU,LP,CM,NO,2,NO
07002,FLeu/1,FL,NO,NO,2,NO
07003,H2O,SC,NA,NO,2,NO
07004,LPcali+LPrz/2,LV,LV,NO,2,NO
07005,LPhuli+LVhulep/3,LV,AC,NO,2,NO
07006,AChu+LPdyli/3,AC,PH,NO,2,NO
07007,LPrz+LVha+ALhulep/2,AL,RG,NO,2,NO
07008,ACpl+ACha+RGdy/3,AC,RG,NO,2,NO
07009,H2O,RG,CM,NO,2,NO
07010,RGeulep+PHlep+LPeuli/2,RG,PH,LP,2,NO
07011,PHha+LPeuli/2r,LV,LV,NO,2,NO
07012,LPcali+LPrz/3,LP,LP,NO,3,NO
07013,LVcr+PHhu/2,LP,PH,NO,2,NO
07014,PHlen+LPrz/2,PH,LP,NO,2,NO
07015,PE,LV,AN,NO,2,NO
07016,H2O,NA,NA,NA,NA,NA
07017,LPeuli+RGeu+PHha/2,LP,RG,NO,2,NO
07018,PHlen+LPcali/2,PH,PH,NO,2,NO
07019,VRmzpe/3,LP,LP,NO,2,NO
07020,ZU,LP,RG,NO,2,NO
07021,LVcr+ACcrhu+LPhurz/3,LV,AC,NO,2,NO
07022,LVlep+PLcrhu+LPrz/3,LV,LP,LP,2,NO
