CVEGEO,CLAVE,RANGOS
1001,400,400-500
1002,500,500
1003,600,600
1004,400,400-500
1005,600,600-700
1006,400,400-500
1007,400,400-500
1008,700,700
1009,500,500
1010,400,400-500
1011,400,400-500
2001,300,No Aplica
2002,100,0-100
2003,100,100-200
2004,H2O,No Aplica
2005,200,200-300
2006,H2O,No Aplica
2007,H2O,No Aplica
3001,H2O,No Aplica
3002,H2O,No Aplica
3003,H2O,No Aplica
3008,300,300-400
3009,H2O,No Aplica
4001,700,700-800
4002,1000,1000-1100
4003,H2O,No Aplica
4004,1000,1000-1100
4005,800,800-1000
4006,1000,1000-1100
4007,1500,1500-2000
4008,800,800-1000
4009,1300,1300-1500
4010,1000,1000-1100
4011,1300,1300-1500
4012,1000,1000-1100
4013,1000,1000-1100
5001,400,400-500
5002,500,500
5003,400,400-500
5004,600,400-500
5005,400,400-500
5006,400,400
5007,400,400
5008,400,400-500
5009,200,200-300
5010,300,300-400
5011,500,400-500
5012,400,400-500
5013,400,400-500
5014,400,400-500
5015,400,400-500
5016,200,200-300
5017,200,200-300
5018,400,400-500
5019,400,400-500
5020,500,500
5021,400,400
5022,400,400-500
5023,300,300
5024,400,400-500
5025,400,400-500
5026,400,400-500
5027,400,400-500
5028,400,400-500
5029,200,100-200
5030,500,400-500
5031,400,400
5032,400,400-500
5033,200,100-200
5034,300,300
5035,200,300
5036,300,300
5037,400,400-500
5038,400,400-500
6001,700,700-800
6002,700,700
6003,1000,1000-1200
6004,700,700-800
6005,1000,1000-1200
6006,700,700-800
6007,1000,1000-1200
6008,1000,1000-1200
6009,700,700-800
6010,1200,1000-1200
7001,3000,2500-3000
7002,1000,1000
7003,3000,1500-2000
7004,2000,1500-2000
7005,3000,2500-3000
7006,1200,1200
7007,1200,1200-1500
7008,3000,3000
7009,800,1200-1500
7010,1200,1200
7011,1200,1200-1500
7012,1000,1000
7013,1200,1200-1500
7014,1500,1500-2000
7015,4000,4000-4500
7016,1500,1500-2000
7017,1000,1000
