CVEGEO,RANGOS
1001,16-18
1002,16-18
1003,14-16
1004,16-18
1005,14-16
1006,16-18
1007,14-16
1008,14-16
1009,16-18
1010,14-16
1011,16-18
2001,14-16
2002,18-20
2003,14-16
2004,14-16
2005,14-16
2006,No Aplica
2007,16-18
3001,No Aplica
3002,16-18
3003,18-20
3008,18-20
3009,18-20
4001,No Aplica
4002,24-26
4003,No Aplica
4004,24-26
4005,24-26
4006,24-26
4007,24-26
4008,24-26
4009,24-26
4010,24-26
4011,24-26
4012,24-26
4013,24-26
5001,16-18
5002,16-18
5003,20-22
5004,10-12
5005,18-20
5006,16-18
5007,14-16
5008,22-24
5009,16-18
5010,20-22
5011,18-20
5012,22-24
5013,22-24
5014,20-22
5015,20-22
5016,16-18
5017,20-22
5018,18-20
5019,20-22
5020,14-16
5021,16-18
5022,20-22
5023,16-18
5024,12-14
5025,20-22
5026,18-20
5027,18-20
5028,22-24
5029,18-20
5030,12-14
5031,16-18
5032,20-22
5033,16-18
5034,16-18
5035,18-20
5036,16-18
5037,22-24
5038,20-22
6001,26-28
6002,22-24
6003,16-18
6004,22-24
6005,18-20
6006,22-24
6007,24-26
6008,18-20
6009,22-24
6010,18-20
7001,18-20
7002,24-26
7003,26-28
7004,18-20
7005,22-24
7006,20-22
7007,14-16
7008,18-20
7009,22-24
7010,22-24
7011,16-18
7012,24-26
7013,24-26
7014,18-20
7015,16-18
7016,24-26
7017,20-22
7018,24-26
7019,14-16
7020,20-22
7021,24-26
7022,22-24
7023,12-14
7024,20-22
7025,20-22
7026,22-24
7027,22-24
7028,24-26
7029,22-24
7030,16-18
7031,18-20
7032,18-20
7033,22-24
7034,20-22
7035,28-30
7036,18-20
7037,28-30
7038,20-22
7039,20-22
7040,26-28
7041,22-24
7042,20-22
7043,20-22
7044,22-24
7045,22-24
7046,20-22
7047,24-26
7048,24-26
7049,22-24
7050,24-26
7051,14-16
7052,16-18
7053,22-24
7054,26-28
7055,26-28
7056,18-20
7057,20-22
7058,22-24
7059,18-20
7060,20-22
7061,20-22
7062,22-24
7063,22-24
7064,16-18
7065,22-24
7066,20-22
7067,24-26
7068,24-26
7069,18-20
7070,22-24
7071,26-28
7072,16-18
7073,22-24
7074,24-26
7075,22-24
7076,20-22
7077,22-24
7078,12-14
7079,24-26
7080,16-18
7081,20-22
7082,22-24
7083,22-24
7084,20-22
7085,24-26
7086,22-24
7087,26-28
7088,22-24
7089,26-28
7090,22-24
7091,22-24
7092,24-26
7093,20-22
7094,22-24
7096,18-20
7097,20-22
7098,24-26
7099,22-24
7100,20-22
7101,22-24
7102,26-28
7103,22-24
7104,22-24
7105,22-24
7106,22-24
7107,20-22
7108,20-22
7109,18-20
7110,22-24
7111,22-24
7112,22-24
7113,22-24
7114,26-28
7115,22-24
7116,26-28
7117,18-20
7118,22-24
7119,22-24
7120,20-22
7121,16-18
7122,20-22
7123,24-26
7124,24-26
7125,16-18
8001,14-16
8002,16-18
8003,16-18
8004,16-18
8005,14-16
8006,10-12
8007,8-10
8008,14-16
8009,8-10
8010,10-12
8011,16-18
8012,8-10
8013,8-10
8014,16-18
8015,14-16
8016,18-20
8017,10-12
8018,10-12
8019,14-16
8020,16-18
8021,18-20
8022,14-16
8023,16-18
8024,16-18
8025,8-10
8026,16-18
8027,10-12
8028,14-16
8029,10-12
8030,14-16
8031,8-10
8032,14-16
8033,12-14
8034,8-10
8035,12-14
8036,16-18
8037,14-16
8038,16-18
8039,16-18
8040,8-10
8041,16-18
8042,14-16
8043,10-12
8044,12-14
8045,18-20
8046,12-14
8047,12-14
8048,10-12
8049,12-14
8050,14-16
8051,8-10
8052,14-16
8053,16-18
8054,10-12
8055,14-16
8056,16-18
8057,16-18
8058,18-20
8059,14-16
8060,10-12
8061,14-16
8062,16-18
8063,8-10
8064,12-14
8065,14-16
8066,14-16
8067,16-18
9002,14-16
9003,14-16
9004,6-8
9005,14-16
9006,14-16
9007,14-16
9008,6-8
9009,8-10
9010,14-16
9011,14-16
9012,8-10
9013,8-10
9014,14-16
9015,14-16
9016,14-16
9017,14-16
10001,12-14
10002,12-14
10003,16-18
10004,16-18
10005,14-16
10006,16-18
10007,18-20
10008,16-18
10009,8-10
10010,14-16
10011,14-16
10012,18-20
10013,14-16
10014,12-14
10015,14-16
10016,14-16
10017,12-14
10018,14-16
10019,10-12
10020,12-14
10021,16-18
10022,12-14
10023,10-12
10024,16-18
10025,10-12
10026,10-12
10027,16-18
10028,16-18
10029,16-18
10030,14-16
10031,14-16
10032,10-12
10033,12-14
10034,10-12
10035,8-10
10036,16-18
10037,16-18
10038,16-18
10039,10-12
11001,18-20
11002,14-16
11003,14-16
