CVEGEO,CLAVE,TIPO_N,TIPO_C,CLASS_ATLA
1001,BS1kw,54,Semiseco templado,Seco y semiseco
1002,BS1kw,54,Semiseco templado,Seco y semiseco
1003,BS1kw,32,Templado subh?medo,Seco y semiseco
1004,BS1kw,54,Semiseco templado,Seco y semiseco
1005,BS1kw,54,Semiseco templado,Seco y semiseco
1006,BS1kw,54,Semiseco templado,Seco y semiseco
1007,BS1kw,54,Semiseco templado,Seco y semiseco
1008,BS1kw,32,Templado subh?medo,Seco y semiseco
1009,BS1kw,54,Semiseco templado,Seco y semiseco
1010,BS1kw,54,Semiseco templado,Seco y semiseco
1011,BS1kw,54,Semiseco templado,Seco y semiseco
2001,BSks,59,Seco templado,Muy seco o seco desertico
2002,BW(h')hs(x'),62,Muy seco c?lido,Muy seco o seco desertico
2003,BWhs(x'),63,Muy seco semic?lido,Muy seco o seco desertico
2004,BSks,59,Seco templado,Seco y semiseco
2005,BSks,59,Seco templado,Seco y semiseco
2006,BW(h')hw(x'),62,Muy seco c?lido,Muy seco o seco desertico
2007,BW(h')hw(x'),64,Muy seco templado,Muy seco o seco desertico
3001,BWhs(x'),63,Muy seco semic?lido,Muy seco o seco desertico
3002,BWhs(x'),63,Muy seco semic?lido,Muy seco o seco desertico
3003,BW(h')hw(x'),62,Muy seco c?lido,Muy seco o seco desertico
3008,BS1hw,53,Semiseco semic?lido,Seco y semiseco
3009,BW(h')hw(x'),62,Muy seco c?lido,Muy seco o seco desertico
4001,Aw0,12,C?lido subh?medo,C¿lido Subh¿medo
4002,Aw0,12,C?lido subh?medo,C¿lido Subh¿medo
4003,Aw2(x'),12,C?lido subh?medo,C¿lido Subh¿medo
4004,Aw1,12,C?lido subh?medo,C¿lido Subh¿medo
4005,Aw0(w),12,C?lido subh?medo,C¿lido Subh¿medo
4006,Aw0,12,C?lido subh?medo,C¿lido Subh¿medo
4007,Am(f),11,C?lido h?medo,Calido H¿medo
4008,Aw0,12,C?lido subh?medo,C¿lido Subh¿medo
4009,Aw2(x'),12,C?lido subh?medo,C¿lido Subh¿medo
4010,Aw2(x'),12,C?lido subh?medo,C¿lido Subh¿medo
4011,Aw2(x'),12,C?lido subh?medo,C¿lido Subh¿medo
4012,Aw0(w),12,C?lido subh?medo,C¿lido Subh¿medo
4013,Aw0,12,C?lido subh?medo,C¿lido Subh¿medo
5001,BS1kw,54,Semiseco templado,Seco y semiseco
5002,BS0kw(x'),59,Seco templado,Seco y semiseco
5003,BS0hw(x'),58,Seco semic?lido,Seco y semiseco
5004,C(E)x',42,Semifr?o subh?medo,Templado subh¿medo
5005,BS1kw,54,Semiseco templado,Seco y semiseco
5006,BS0kx',59,Seco templado,Seco y semiseco
5007,BS1kw,59,Seco templado,Seco y semiseco
5008,BS0(h')hw,57,Seco c?lido,Seco y semiseco
5009,BS0kw,59,Seco templado,Seco y semiseco
5010,BS0hx',58,Seco semic?lido,Seco y semiseco
5011,C(E)x',54,Semiseco templado,Seco y semiseco
5012,BS0(h')hx',57,Seco c?lido,Seco y semiseco
5013,BS0(h')hx',57,Seco c?lido,Seco y semiseco
5014,BWhw(x'),63,Muy seco semic?lido,Seco y semiseco
5015,BS0(h')hx',57,Seco c?lido,Seco y semiseco
5016,BWhx',58,Seco semic?lido,Seco y semiseco
5017,BWhw,63,Muy seco semic?lido,Muy seco o seco desertico
5018,BS1kw,54,Semiseco templado,Seco y semiseco
5019,BS1hw,58,Seco semic?lido,Seco y semiseco
5020,BS1kw,54,Semiseco templado,Seco y semiseco
5021,BS0kw,58,Seco semic?lido,Seco y semiseco
5022,BS0hw(x'),58,Seco semic?lido,Seco y semiseco
5023,BS0kw,59,Seco templado,Seco y semiseco
5024,BS0kw,58,Seco semic?lido,Seco y semiseco
5025,BS0hw(x'),58,Seco semic?lido,Seco y semiseco
5026,BS1hw,57,Seco c?lido,Seco y semiseco
5027,BS0hx',58,Seco semic?lido,Seco y semiseco
5028,BS1hw,58,Seco semic?lido,Seco y semiseco
5029,BWhx',63,Muy seco semic?lido,Muy seco o seco desertico
5030,C(E)x',42,Semifr?o subh?medo,Seco y semiseco
5031,BS0kw,59,Seco templado,Seco y semiseco
5032,BS1hw,58,Seco semic?lido,Seco y semiseco
5033,BS1kw,54,Semiseco templado,Seco y semiseco
5034,BS0kw,59,Seco templado,Seco y semiseco
5035,BWhw,63,Muy seco semic?lido,Muy seco o seco desertico
5036,BS0kw,59,Seco templado,Seco y semiseco
5037,BS0(h')hx',57,Seco c?lido,Seco y semiseco
5038,BWhw(x'),58,Seco semic?lido,Seco y semiseco
6001,A(C)w1(w),22,Semic?lido subh?medo,C¿lido Subh¿medo
6002,BS1(h')w(w),12,C?lido subh?medo,C¿lido Subh¿medo
6003,(A)C(w1)(w),32,Templado subh?medo,C¿lido Subh¿medo
6004,A(C)w1(w),12,C?lido subh?medo,C¿lido Subh¿medo
6005,C(w2),32,Templado subh?medo,C¿lido Subh¿medo
6006,BS1(h')w(w),51,Semiseco muy c?lido,Seco y semiseco
6007,Aw0(w),12,C?lido subh?medo,C¿lido Subh¿medo
6008,Aw1(w),12,C?lido subh?medo,C¿lido Subh¿medo
6009,BW(h')w,61,Muy seco muy c?lido,Muy seco o seco desertico
6010,(A)C(w1)(w),12,C?lido subh?medo,C¿lido Subh¿medo
7001,Am(w),11,C?lido h?medo,Calido H¿medo
7002,Aw1(w),12,C?lido subh?medo,C¿lido Subh¿medo
7003,Aw2(w),12,C?lido subh?medo,C¿lido Subh¿medo
7004,Am,11,C?lido h?medo,Calido H¿medo
7005,A(C)f(m),11,C?lido h?medo,Calido H¿medo
7006,(A)C(m)(w),21,Semic?lido h?medo,Calido H¿medo
7007,Aw1(w),32,Templado subh?medo,C¿lido Subh¿medo
7008,C(m)(w),31,Templado h?medo,Templado h¿medo
7009,Aw1(w),12,C?lido subh?medo,C¿lido Subh¿medo
7010,A(C)m(w),12,C?lido subh?medo,C¿lido Subh¿medo
7011,C(m)(w),31,Templado h?medo,Templado h¿medo
7012,Am,11,C?lido h?medo,Calido H¿medo
7013,Am(f),12,C?lido subh?medo,C¿lido Subh¿medo
7014,A(C)f(m),21,Semic?lido h?medo,Calido H¿medo
7015,Am(w),11,C?lido h?medo,Calido H¿medo
7016,Am(f),11,C?lido h?medo,Calido H¿medo
7017,Aw1(w),12,C?lido subh?medo,C¿lido Subh¿medo
7018,Am(f),11,C?lido h?medo,Calido H¿medo
7019,(A)C(w2)(w),32,Templado subh?medo,C¿lido Subh¿medo
7020,A(C)m(w),21,Semic?lido h?medo,Calido H¿medo
7021,Am,11,C?lido h?medo,Calido H¿medo
7022,Am,11,C?lido h?medo,Calido H¿medo
7023,(A)C(m),32,Templado subh?medo,Calido H¿medo
7024,(A)C(w2)(w),32,Templado subh?medo,C¿lido Subh¿medo
7025,Af(m),11,C?lido h?medo,Calido H¿medo
7026,Am,11,C?lido h?medo,Calido H¿medo
7027,Aw2(w),12,C?lido subh?medo,C¿lido Subh¿medo
7028,Aw1(w),12,C?lido subh?medo,C¿lido Subh¿medo
7029,Aw1,12,C?lido subh?medo,C¿lido Subh¿medo
7030,C(m)(w),31,Templado h?medo,Templado h¿medo
7031,(A)C(m),21,Semic?lido h?medo,Calido H¿medo
7032,Am(w),11,C?lido h?medo,Calido H¿medo
7033,Af(m),11,C?lido h?medo,Calido H¿medo
7034,(A)C(m)(w),12,C?lido subh?medo,C¿lido Subh¿medo
7035,Aw1(w),12,C?lido subh?medo,C¿lido Subh¿medo
7036,A(C)m(w),21,Semic?lido h?medo,Calido H¿medo
7037,Am(w),11,C?lido h?medo,Calido H¿medo
